"Datum","Uhrzeit","Allgemein","Geben Sie Ihr Alter an (freiwillig)","Wohnen Sie in Moosburg?","An welchen Tagen besuchen Sie das Fest im Wesentlichen? (mehrfache Antworten möglich)","Zu welchen Tageszeiten besuchen Sie das Fest im Wesentlichen? (mehrfache Antworten möglich)","Erreichbarkeit","Wie kommen Sie zum Fest? (mehrfache Antworten möglich)","Wie bewerten Sie insgesamt die Erreichbarkeit des Festplatzes für Sie persönlich?","Wollen Sie uns etwas zum Thema Erreichbarkeit mitteilen? (optional)","Essen","Nutzen Sie die Essensangebote auf dem Fest? (mehrfache Antworten möglich)","Sollen bei den Essensangeboten folgende Ernährungspräferenzen bzw. -restriktionen mehr berücksichtigt werden? (mehrfache Antworten möglich)","Wie leicht fällt es Ihnen, geeignetes Essen zu finden?","Wie bewerten Sie die Preise für Essen auf dem Fest für Sie persönlich?","Wie bewerten Sie insgesamt das Angebot an Essen auf dem Fest für Sie persönlich?","Getränke","Nutzen Sie die Getränkeangebote auf dem Fest? (mehrfache Antworten möglich)","Wie bewerten Sie die Preise für Getränke auf dem Fest für Sie persönlich?","Wie bewerten Sie insgesamt das Angebot das Angebot an Getränken auf dem Fest für Sie persönlich?","Programm & Fahrgeschäfte","Wie bewerten Sie insgesamt das Programm (Musikgruppen etc.) auf dem Fest für Sie persönlich?","Wie bewerten Sie insgesamt die Auswahl an Fahrgeschäften und Ständen auf dem Fest für Sie persönlich?","Wie gefällt Ihnen das Rahmenprogramm zur Herbstschau? (Umzug, Ausstellung der Hobbyhandwerker, Isarman, ...) (optional)","Wie sicher fühlen Sie sich auf den Moosburger Volksfesten?","Wie sicher fühlen Sie sich auf den Moosburger Volksfesten? - Zusätzliche Informationen (optional)","Sonstige Anregungen, Lob & Kritik (optional)"
"21.09.2024","04:28","","28","Ja","Mittwoch, Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","5","Ich wohne in der Nähe vom Viehmarktplatz und brauche nur 2 min zum Festplatz.  Daher ist das Volksfest für mich gut erreichbar.","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","3","4","","Im Festzelt","3","5","","5","5","Ich persönlich finde es schade, dass am Auszug nur immer die selben Vereine mitlaufen. Der Auszug wird langsam echt langweilig. Ladet doch mal mehr Moosburger Vereine ein mit Fahnenabordnungen und Trachten mitzugehen. Das ergibt im allgemeinen ein schöneres Bild und besseren Eindruck.","5","","Vielleicht wäre es ja mal möglich den Festplatz anders zu gestalten.  Paar Fahrgeschäfte umzustellen dass es mal wieder ein anderes Bild ergibt. Immer das Gleiche ist echt langweilig. Hab ich auch öfter schon gehört und mitbekommen von den Bürgern. Es können ja die selben Schausteller da sein aber vielleicht einfach mal bissl umgestalten und umstellen. Ist nicht einfach aber machbar. Finde auch schade, dass man das Feuerwerk nicht wirklich am Festplatz sieht. Sonst sind die Volksfeste eine Bereicherung für Moosburg."
"21.09.2024","02:56","","27","Ja","Freitag, Samstag","Nach 18 Uhr","","zu Fuß","6","","","Von den Ständen auf dem Festplatz","vegan","1","2","2","","Im Festzelt","2","6","","4","4","Ausstellungen in der Schäfflerhalle könnte man besser beschildern. Außenstehend merkt man oft nicht, dass da drin etwas angeboten wird","3","Mehr Polizeipräsenz in der Umgebung z.B. Stadt nach 23 Uhr oder auch Streife in der Nacht ... Wobei evtl ist das ein utopischer Wunsch einer Dame :D","Schön, dass die Meinung der Bürger gefragt wird. Danke (:"
"21.09.2024","01:08","","","Ja","Dienstag, Samstag, Sonntag","Vor 14 Uhr, Nach 18 Uhr","","zu Fuß","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","5","5","","Im Festzelt","5","5","","3","5","","4","",""
"21.09.2024","00:09","","","Ja","Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","5","","","Im Festzelt","keine zusätzlichen Angebote notwendig","6","3","4","","Im Festzelt","3","3","","4","4","","4","",""
"20.09.2024","22:58","","35","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad","3","Parkplatz für Autos in unmittelbarer Nähe nicht vorhanden. Für Fahrräder natürlich problemlos.","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","2","1","4","","Im Festzelt","1","5","","5","5","","4","Ziemlich sicher.","Preis-Leistung stimmt nicht. Lange Wartezeit im Zelt auf Getränke, trotz halb leeres Zelt. Bedienungen nicht optimal vorbereitet."
"20.09.2024","22:55","","41","Ja","Mittwoch, Samstag","Vor 14 Uhr, Nach 18 Uhr","","zu Fuß","4","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch","2","2","3","","Im Festzelt","3","6","","3","3","","5","",""
"20.09.2024","22:18","","37","Ja","Dienstag, Mittwoch, Samstag, Sonntag","14 bis 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","4","5","","Im Festzelt","4","5","","6","6","","6","",""
"20.09.2024","22:13","","38","Ja","Freitag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch","4","3","4","","Im Festzelt, Von den Ständen auf dem Festplatz","3","2","","5","3","","5","",""
"20.09.2024","22:06","","29","Nein","Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","PKW","3","Sind wenig Parkmöglichkeiten","","Im Festzelt","keine zusätzlichen Angebote notwendig","5","1","4","","Im Festzelt","2","5","","5","5","Beim Auszug bzw. beim Umzug vor dem bieranstich  Wäre es schön gewesen wenn mehr Vereine sich beteiligen  Weil jedes Jahr nur die isartaler mitlaufen ist langweilig","4","",""
"20.09.2024","22:00","","35","Nein","Freitag","Nach 18 Uhr","","PKW","3","Parkplätze fehlen vor Ort. Gerade wegen Sperrung am Plan.","","Im Festzelt","keine zusätzlichen Angebote notwendig","3","1","3","","Im Festzelt","2","1","","4","2","Gut. Gerne mehr. Vielleicht Feuerwerk?","6","",""
"20.09.2024","21:42","","42","Ja","Freitag, Samstag","Nach 18 Uhr","","zu Fuß","6","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","2","2","","Von den Ständen auf dem Festplatz","4","4","","3","3","Umzug? Das ist doch eigentlich a kompletter Witz!  Einige Vereine sind garnicht vertreten!","4","",""
"20.09.2024","21:36","","","Ja","Dienstag, Mittwoch, Donnerstag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","5","Extra Fahrradparkplatz wäre gut,die vorhandenen sind über voll.","","Im Festzelt","vegetarisch","5","2","4","","Im Festzelt, Von den Ständen auf dem Festplatz","3","4","","4","6","","6","",""
"20.09.2024","21:27","","","Nein","Montag, Mittwoch, Donnerstag","14 bis 18 Uhr","","PKW","4","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","4","4","","Von den Ständen auf dem Festplatz","4","3","","4","4","","3","Man könnte die Fahrerradfahrer aus dem Volksfest raus halten, ein Mann nahm beim aufseigen auf seinen Fahrrad meine 5 jährige Tochter mit und haute ihr nochmal auf den gebrochenen arm. Sorry sowas muss echt nicht sein im Trubel.","Den Weg über die Fußgängerampel bitte frei halten, man möchte Vorbild sein und kommt kaum zu der Ampel hin.  Sorry wenn ich es schon wieder was gegen die Fahrräder sagen, nur man könnte dies etwas anders positionieren. Finde da geht Sicherheit vor."
"20.09.2024","21:14","","26","Ja","Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","4","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","4","5","","Im Festzelt","3","6","","2","4","","2","Gewaltbereite ausländische jugendgruppen aufm weg in die stadt.",""
"20.09.2024","20:56","","59","Ja","Mittwoch, Donnerstag, Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad","5","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","1","2","1","","Im Festzelt","2","4","","3","3","","5","",""
"20.09.2024","20:52","","44","Nein","Donnerstag, Freitag","Nach 18 Uhr","","PKW","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","2","5","","Im Festzelt","5","5","","5","2","","5","",""
"20.09.2024","20:17","","45","Ja","Mittwoch, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","3","3","","Im Festzelt, Von den Ständen auf dem Festplatz","4","4","","4","3","Ausstellung nicht gut besucht, oft niemand am stand. Wer ist Isarman","5","",""
"20.09.2024","20:06","","34","Ja","Mittwoch, Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","4","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","3","4","3","","Im Festzelt","3","4","","4","4","","5","","Bessere Qualität des Essens im Zelt. Für den Preis kann man schon erwarten das die Qualität besser ist.  Hat in den letzten 4 Jahren stark nachgelassen. Sehr schade. Hoffentlich wird es mit einem neuen Festwirt besser."
"20.09.2024","19:47","","36","Ja","Mittwoch, Freitag, Samstag","14 bis 18 Uhr","","Fahrrad, zu Fuß","5","Der Aufbau findet zu früh statt, der Parkplatz ist insgesamt zu lange gesperrt.","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","5","5","","Von den Ständen auf dem Festplatz","4","4","","4","5","","5","",""
"20.09.2024","17:37","","37","Ja","Donnerstag, Samstag, Sonntag","14 bis 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","2","4","","Im Festzelt","3","4","","4","4","Gut","5","",""
"20.09.2024","17:19","","46","Ja","Mittwoch","Vor 14 Uhr","","zu Fuß","5","","","Von den Ständen auf dem Festplatz","vegetarisch","3","1","2","","Im Festzelt","5","6","","2","1","","2","",""
"20.09.2024","16:32","","40","Ja","Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegan, glutenfrei","4","2","3","","Im Festzelt, Von den Ständen auf dem Festplatz","2","4","","4","5","","1","",""
"20.09.2024","16:07","","46","Ja","Mittwoch","Vor 14 Uhr","","zu Fuß","6","","","Im Festzelt","keine zusätzlichen Angebote notwendig","6","2","3","","Im Festzelt, Von den Ständen auf dem Festplatz","3","3","","3","3","","5","","Ich war vom Bierzelt enttäuscht!  Es waren vielleicht 15 Tische im Zelt belegt, es dauerte mehr als 15 Minuten bis eine Bedienung kam und weiter 50 Minuten bis wir unser Essen bekamen - ist uns ähnlich im letzten Jahr so gegangen - werde meine Mitarbeiter nicht mehr zum Mittagstisch auf das Volksfest einladen!"
"20.09.2024","15:07","","38","Nein","Sonntag","Vor 14 Uhr","","PKW","6","","","Im Festzelt","keine zusätzlichen Angebote notwendig","6","4","4","","Im Festzelt","4","5","","4","5","","6","",""
"20.09.2024","15:00","","34","Ja","Dienstag, Mittwoch","14 bis 18 Uhr","","zu Fuß","4","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","2","2","2","","Von den Ständen auf dem Festplatz","2","2","","3","3","","2","Die Sicherheit auf dem Fest ist in Ordnung viel schlimmer ist die Situation außerhalb der Platzes. Rund um das Fest tummeln sich Gruppen die keine Sicherheit ausstrahlen. Sicherheitsdienst oder Polizei sind leider kaum anzutreffen.","Vergessen Sie bitte bei keiner Veranstaltung in und um Moosburg, dass es auch einfache Bewohner gibt die zur Nachtschicht müssen oder von dort kommen und es Ballungsräume in der Stadt gibt die man zu jedem größeren Fest meiden sollte."
"20.09.2024","14:26","","55","Ja","Samstag, Sonntag","Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","5","5","","Im Festzelt","5","5","","5","5","","5","",""
"20.09.2024","14:09","","58","Ja","Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","2","4","","Im Festzelt","3","4","","2","2","","6","","Mal ein gesamtes Konzept und andere Fahrgeschäfte wäre schön. Seit Jahren sieht man immer das gleiche."
"20.09.2024","13:28","","33","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad","6","","","Von den Ständen auf dem Festplatz","vegetarisch","3","2","2","","Im Festzelt","2","4","","4","2","","6","",""
"20.09.2024","13:26","","38","Ja","Donnerstag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","6","Wir sind direkte Anwohner.  Leider werden viele Fahrräder bei uns in der Einfahrt abgestellt (Viehmarktstr. 7-9). Vielleicht gibt es eine weitere Möglichkeit, mehr Fahrradstellplätze zu schaffen?","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","2","6","","Im Festzelt","2","5","","5","5","","6","","Es ist immer ein tolles Fest! Vielen Dank für das schöne Angebot im Frühjahr und im Herbst."
"20.09.2024","13:04","","23","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","4","6","","Im Festzelt","4","5","","5","6","","6","",""
"20.09.2024","12:29","","34","Ja","Mittwoch, Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Von den Ständen auf dem Festplatz","vegetarisch, vegan","4","5","4","","Im Festzelt, Von den Ständen auf dem Festplatz","5","5","","6","3","","4","",""
"20.09.2024","12:14","","","Ja","Donnerstag, Freitag, Samstag","Vor 14 Uhr, Nach 18 Uhr","","zu Fuß","5","","","Im Festzelt","vegetarisch","2","3","1","","Im Festzelt","3","5","","2","2","","5","",""
"20.09.2024","12:09","","27","Ja","Donnerstag, Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad","5","Mehr Stellplätze für Fahrräder","","Von den Ständen auf dem Festplatz","vegetarisch, vegan","2","3","2","","Von den Ständen auf dem Festplatz","3","5","","3","4","","6","",""
"20.09.2024","11:46","","37","Nein","Donnerstag, Freitag, Samstag, Sonntag","Nach 18 Uhr","","PKW","6","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","4","4","","Im Festzelt, Von den Ständen auf dem Festplatz","5","5","","5","5","","6","",""
"20.09.2024","10:25","","33","Nein","Donnerstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","PKW","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","3","4","","Im Festzelt, Von den Ständen auf dem Festplatz","4","6","","5","5","","6","",""
"20.09.2024","09:56","","32","Ja","Freitag, Samstag","Nach 18 Uhr","","PKW, zu Fuß","5","Parkplatz Situation ist nicht optimal, aber durch begrenzten Platz wohl nicht anders zu lösen.","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","1","3","","Im Festzelt","1","5","","3","2","Städte mit vergleichbarer größe bieten viel mehr. Auch hier ist der Platz das Problem. Ich würde mir hier mehr Kreativität wünschen. Man könnte zum Beispiel auf die Innenstadt erweitern, Schloss Aschwiese miteinbinden oder auch den Zehentstadl.","6","Sicherheit in Bezug auf Polizei und Security ist Top. Hatte hier noch nie Probleme. Jedoch ist dieses Jahr was passiert das mir die Herbstschau versaut hat und vermeidbar gewesen wäre.  Eine nasse Holzrampe ist sehr rutschig, da hätte ich mir eine gummimatte gewünscht. Durch das Fehlen war ich der erste Patient beim Roten Kreuz am Jubiläum der Herbstschau. Sehr sehr schade. Konkret passierte das hinten beim Losstand in der kleinen Bar. Dort liegt wohl immer noch keine Matte, obwohl ihnen das vom Roten Kreuz nahegelegt wurde.","Meiner Meinung nach kann man aus der Moosburger Herbstschau noch mehr rausholen und als eingesessener Moosburger kann ich mir auch vorstellen, mich hier einzubringen. Wenn ihr mich erreichen wollt, thomasmoosburg@gmail.com oder unter der Nummer 08761 7567888."
"20.09.2024","09:56","","36","Ja","Dienstag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","4","4","","Im Festzelt","5","5","","4","2","","5","",""
"20.09.2024","09:37","","18","Ja","Samstag","14 bis 18 Uhr, Nach 18 Uhr","","PKW, zu Fuß","6","","","Von den Ständen auf dem Festplatz","vegetarisch, vegan, keine zusätzlichen Angebote notwendig","5","1","5","","Im Festzelt","1","5","","5","6","","6","",""
"20.09.2024","09:33","","29","Ja","Freitag, Samstag, Sonntag","Nach 18 Uhr","","Fahrrad, PKW, zu Fuß","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","3","2","","Im Festzelt","3","5","","4","3","","5","","Nutzung der Mehrzweckhalle als Aftershow Party (ähnlich Weinhalle Freising) wäre meines Erachtens ein deutlicher Zugewinn"
"20.09.2024","09:30","","25","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Von den Ständen auf dem Festplatz","vegan","5","4","4","","Im Festzelt","4","6","","5","5","Gut, besondere Eignisse bringen Abwechslung rein und lockt auch mal ""nicht-Volksfestgänger"" an.","6","",""
"20.09.2024","09:08","","37","Ja","Mittwoch, Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","2","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","2","4","3","","Im Festzelt","4","3","","2","5","","3","",""
"20.09.2024","09:03","","34","Ja","Donnerstag, Freitag, Samstag, Sonntag","Nach 18 Uhr","","zu Fuß","6","","","Von den Ständen auf dem Festplatz","vegetarisch","4","4","2","","Im Festzelt","3","6","","2","1","","6","",""
"20.09.2024","08:54","","39","Ja","Donnerstag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","6","Ich wohne direkt daneben.","","Im Festzelt, Von den Ständen auf dem Festplatz","vegan","6","3","5","","Im Festzelt, Von den Ständen auf dem Festplatz","4","5","","3","4","","6","",""
"20.09.2024","08:51","","27","Ja","Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","3","Busse von Buch,Mauern,Hörgertshausen,Gammelsdorf wären eventuell was.","","Im Festzelt","vegetarisch","5","3","4","","Im Festzelt, Von den Ständen auf dem Festplatz","3","4","","5","4","","5","","Kamelrennen z.b mal neue Stände wären super."
"20.09.2024","08:51","","21","Ja","Dienstag, Mittwoch, Freitag, Samstag","Vor 14 Uhr, Nach 18 Uhr","","Fahrrad, PKW, zu Fuß","2","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","4","2","","Im Festzelt, Von den Ständen auf dem Festplatz","2","3","","2","3","","2","",""
"20.09.2024","08:47","","24","Nein","Donnerstag, Freitag, Samstag, Sonntag","Vor 14 Uhr, Nach 18 Uhr","","PKW","6","","","Im Festzelt","keine zusätzlichen Angebote notwendig","6","4","6","","Im Festzelt","5","6","","4","2","","5","",""
"20.09.2024","07:59","","","Ja","Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","2","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","1","3","1","","Im Festzelt","3","6","","4","3","","5","",""
"20.09.2024","07:26","","","Ja","Freitag, Samstag, Sonntag","Vor 14 Uhr, 14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch, vegan","4","3","3","","Im Festzelt","3","5","","5","4","","6","","Weniger Glücksspiel bitte Kinder bekommen hier freiem Zugriff auf Slotmaschienen und Lose - warum? Dann soll das BRK doch lieber Spenden einsammeln ohne Kinder zum Glücksspiel zu verleiten - und der Rest kann sowieso weg"
"20.09.2024","06:48","","33","Ja","Mittwoch, Donnerstag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, PKW","4","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","3","2","2","","Im Festzelt","2","2","","3","3","","3","","- essensstand mit Würstel, sowas von schlecht (Fleisch nicht durch, Bratwurst haut kaum zu beißen, also auch nicht durch, lange „Bratwurst“ war eine dünne rote Sau scharfe Wurst, auf Beschwerde reagiert der Besitzer sehr pampig!  - im Kinder Karussell gibt es den einem der Chips einsammelt und dann Kindern nicht kindgerecht immer maßregelt, auch wenn sie schon lange das nicht mehr tun! Unmöglich sein auftreten, total fehl am Platz!"
"20.09.2024","06:03","","38","Ja","Dienstag, Mittwoch, Donnerstag, Sonntag","14 bis 18 Uhr","","Fahrrad, zu Fuß","1","","","Von den Ständen auf dem Festplatz","vegetarisch, vegan","3","1","2","","Im Festzelt, Von den Ständen auf dem Festplatz","1","5","","3","3","👍","4","",""
"20.09.2024","05:24","","26","Ja","Mittwoch, Samstag","Nach 18 Uhr","","Fahrrad","5","","","Von den Ständen auf dem Festplatz","vegan","3","3","4","","Im Festzelt","4","6","","3","5","","6","",""
"19.09.2024","23:02","","19","Nein","Samstag","Nach 18 Uhr","","PKW","3","","","Im Festzelt","vegan","1","2","2","","Im Festzelt","1","5","","5","5","","4","",""
"19.09.2024","21:16","","38","Ja","Mittwoch, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","6","","","Im Festzelt","keine zusätzlichen Angebote notwendig","6","3","5","","Im Festzelt","3","6","","4","6","","6","",""
"19.09.2024","20:32","","37","Ja","Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","6","Zu wenig Parkplätze vorhanden für Bekannte, Verwandtschaft und Freunde die nicht in Moosburg wohnen. Deswegen besuchen Sie das Fest meist nicht.","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","3","1","3","","Im Festzelt","3","4","","3","4","","5","Bitte mehr Polizei oder Security Streife.",""
"19.09.2024","19:57","","37","Ja","Freitag, Samstag","Nach 18 Uhr","","zu Fuß","6","","","Im Festzelt","keine zusätzlichen Angebote notwendig","6","4","5","","Im Festzelt","3","6","","4","4","","6","",""
"19.09.2024","19:20","","47","Ja","Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","5","","","Im Festzelt","vegetarisch","3","2","4","","Im Festzelt","3","3","","4","4","","5","",""
"19.09.2024","18:37","","","Ja","Freitag, Samstag","Nach 18 Uhr","","Bus, Fahrrad, zu Fuß","6","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","2","5","","Im Festzelt","2","5","","5","4","","4","",""
"19.09.2024","17:02","","28","Ja","Mittwoch, Donnerstag, Freitag","Nach 18 Uhr","","zu Fuß","5","","","Im Festzelt","vegetarisch, vegan","5","4","3","","Im Festzelt","4","6","","4","4","","5","",""
"19.09.2024","15:35","","44","Ja","Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch","4","4","4","","Im Festzelt, Von den Ständen auf dem Festplatz","4","4","","4","4","","5","",""
"19.09.2024","15:18","","","Ja","Mittwoch","14 bis 18 Uhr","","zu Fuß","4","","","Im Festzelt","vegetarisch","2","2","2","","Im Festzelt","2","3","","4","3","","5","",""
"19.09.2024","15:02","","48","Ja","Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","laktosefrei, glutenfrei","1","3","3","","Im Festzelt, Von den Ständen auf dem Festplatz","3","3","","3","2","Es ist halt immer das gleiche","2","",""
"19.09.2024","14:49","","13","Nein","Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","PKW","5","","","Von den Ständen auf dem Festplatz","halal/koscher, keine zusätzlichen Angebote notwendig","3","3","3","","Von den Ständen auf dem Festplatz","3","5","","2","4","","4","","Nicht immer so hoche, ""gefährliche"" Fahrzeuge sonder auch krasse quf dem boden"
"19.09.2024","14:35","","32","Ja","Mittwoch, Sonntag","14 bis 18 Uhr","","zu Fuß","3","Es gestaltet sich mit Kindern oft schwierig, den Stadtgraben, der ja als Fahrradstraße ausgewiesen ist, entlang zu laufen, da extrem viele Autos durchrasen...","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","3","4","","Im Festzelt, Von den Ständen auf dem Festplatz","3","4","","5","2","","5","",""
"19.09.2024","14:21","","40","Ja","Dienstag, Samstag","14 bis 18 Uhr","","Fahrrad","3","Vom Zugang Rückseite Schäfflerhalle katastrophal da der Zugang ständig zugeparkt wird","","Im Festzelt","keine zusätzlichen Angebote notwendig","5","3","5","","Im Festzelt","5","4","","4","4","Lieblos wägen der Stadt beim Umzug sind seit Jahren immer die gleichen","1","Die Steine an den Eingängen die Fahrzeugen die Einfahrt erschweren sollen stehen nur sinnlos am Rand rum.Da ist jedes fest im ganzen Umkreis sicherer",""
"19.09.2024","14:21","","","Ja","Mittwoch, Freitag, Samstag, Sonntag","14 bis 18 Uhr","","Fahrrad, zu Fuß","6","Mehr Fahrradparkplätze wäre gut","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","3","3","","Im Festzelt","3","3","","2","3","","3","",""
"19.09.2024","14:16","","37","Ja","Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, PKW, zu Fuß","5","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","4","5","","Von den Ständen auf dem Festplatz","4","5","","4","5","Das Feuerwerk ist von Festplatz us leider nie zusehen da sollte was geändert werden sows gibt es leider nur in moosburg","6","",""
"19.09.2024","14:15","","42","Ja","Montag, Dienstag, Mittwoch, Donnerstag, Freitag, Samstag, Sonntag","14 bis 18 Uhr","","PKW","6","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","2","6","","Im Festzelt, Von den Ständen auf dem Festplatz","2","4","","4","5","","6","",""
"19.09.2024","13:57","","23","Ja","Samstag","14 bis 18 Uhr","","Fahrrad, zu Fuß","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","halal/koscher, laktosefrei","4","3","2","","Im Festzelt","3","6","","5","2","","4","",""
"19.09.2024","13:53","","34","Ja","Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","PKW","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","laktosefrei","4","3","4","","Im Festzelt, Von den Ständen auf dem Festplatz","4","3","","4","4","","3","",""
"19.09.2024","13:51","","37","Nein","Donnerstag, Freitag, Samstag, Sonntag","Nach 18 Uhr","","PKW","6","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","2","4","","Im Festzelt","5","5","","4","3","","5","",""
"19.09.2024","13:50","","43","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","3","3","","Im Festzelt, Von den Ständen auf dem Festplatz","3","4","","5","3","","5","",""
"19.09.2024","13:49","","52","Ja","Freitag, Samstag","14 bis 18 Uhr","","zu Fuß","4","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","2","4","","Im Festzelt","2","5","","4","5","","5","",""
